Approval Number,Trading Name,Address1,Address2,Address3,Town,Postcode,"Part A, Section III: Meat of farmed game","Part A, Section IV: Wild game meat","Part A, Section V: Minced meat, meat preparations and mechanically separated meat","Part A, Section VI: Meat products","Part A, Section VII: Live bivalve molluscs","Part A, Section VIII: Fishery products","Part A, Section IX: Raw milk and dairy products","Part A, Section X: Eggs and egg products","Part A, Section XI: Frog's legs and snails","Part A, Section XII: Rendered animal fats and greaves","Part A, Section XIII: Treated stomachs, bladders and intestines","Part A, Section XIV: Gelatine","Part A, Section XV: Collagen",Part A (All sections),Species,Remarks,CompetentAuthority,Country
GL 035,The Potted Game Company Ltd,Windmill Cottage,Duntisbourne Abbots,,Cirencester,GL7 7JN,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Cotswold District,England
GL 038,Cotswold and Vale Foods Ltd,28 Western Industrial Estate,Honeybourne Road,Western Subedge,Evesham,WR11 7XB,,,,PP (Processing Plant),,,,PP (Processing Plant),,,,,,"Section: VI (PP), Section: X (PP)",,,Cotswold District,England
GL 039,Dolcetti Ice Cream Ltd,Unit 2 Stirling Works,Love Lane,,Cirencester,GL7 1YG,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cotswold District,England
GL 040,Cotswold Curer Ltd,Cotswold Estate Services Ltd,Baunton Lane,Stratton,Cirencester,GL7 7BG,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cotswold District,England
GL 041,Watercraft Management Ltd ,Mill Farm Whelford ,,,Fairford,GL74DY,,,,,,FFPP (Fresh Fishery Products Plant),,,,,,,,Section: VIII (FFPP),,,Cotswold District,England
GL 042,Garmazeria Ltd,Unit 28,Weston Industrial Estate,,Honeybourne,WR117QB,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: VI (PP), Section: IX (PP)",,,Cotswold District,England
DM 002,Durham Foods,Renny's Lane Ind. Est,Gilesgate,,Durham,DH1 2RB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,County Durham,England
DM 010,Istanbul Meats,First Ave,Drum Industrial Estate,,Chester le Street,DH2 1AG,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",,,County Durham,England
DM 012,Greencore Prepared Meals Consett,Hownsgill Industrial Park,Knitsley Lane,,Consett,DH8 7NU,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,County Durham,England
DM 015,Symintons Limited,Unit 2,Hownsgill Park,,Consett,DH8 7NU,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,PP (Processing Plant),PP (Processing Plant),PP (Processing Plant),,,,,,"Section: VI (PP), Section: IX (PP), Section: X (PP), Section: V (MM), Section: V (MP), Section: VIII (PP)",,,County Durham,England
DM 016,Redemption Food Company,Number One Industrial Estate,,,Consett,DH8 6SR,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,County Durham,England
DM 018,Lanchester Dairies,Upper House Farm,,,Lanchester,DH7 0RL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,County Durham,England
DM 023,Cotherstone Cheese Company,Quarry House Farm,Cotherstone,,Barnard Castle,DL12 9QL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,County Durham,England
DM 027,Kookaburra,3 Armstrong Road,,,Peterlee,SR8 5AE,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,PP (Processing Plant),,,,"Section: V (MP), Section: VI (PP), Section: XII (PP)",,,County Durham,England
DM 029,Stirling Meats Ltd,3 Partnership Court,Seaham Grange Food Park,Partnership Court,Seaham,SR7 0PX,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,County Durham,England
DM 030,Prima Cheese Company,13 Partnership Court,,,Seaham,SR7 0PX,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,County Durham,England
DM 032,Harry Yearsley Ltd,Fox Cover Industrial Estate,Admiralty Way,Dawdon,Seaham,SR7 7DN,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 033,Pasha,1 Pease Road,,,Peterlee,SR8 2RD,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,County Durham,England
DM 034,M & J Seafoods,5-6 Burdon Drive,,,Peterlee,SR8 2JH,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,County Durham,England
DM 036,The Good Food Company,3a Gresley Road,South West Industrial Estate,,Peterlee,SR8 2LU,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,County Durham,England
DM 038,Embleton Hall Dairy Ltd,Murton Hall Farm,,,Wingate,TS28 5NU,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,County Durham,England
DM 039,"Harvest Foods, Newton Aycliffe",Whinfield Drive,Aycliffe Ind Est,,Newton Aycliffe,DL5 6AU,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,County Durham,England
DM 042,Plawsworth Foods,Units 1-3 ,Sacriston Industrial Estate,Plawsworth Road,Sacriston,DH7 6JX,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 043,Poplar House Farm,Escomb,,,Bishop Auckland,DL14 7SU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,County Durham,England
DM 044,Parlour Maid,Village Farm,,Mordon,Sedgefield,TS21 2EY,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,County Durham,England
DM 045,S & S Richardson,High Park Wall Farm,Marwood,Barnard Castle,Durham,DL12 8SR,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,County Durham,England
DM 046,Wm. N. Clark,Lands Rd,,Butterknowle,Bishop Aukland,DL13 5HZ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,County Durham,England
DM 047,Elliott Brothers,HLF House,Lands Road,Butterknowle,Bishop Aukland,DL13 5HZ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,County Durham,England
DM 049,Jolly Body Farm,,,,Bishop Aukland,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,County Durham,England
DM 050,A. Wright & Son,Greenacres,Bowes Road,Barnard Castle,Durham,DL12 9RB,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,County Durham,England
DM 052 ,Lintz Farm Ltd,Lintz Lane,,,Burnopfield,NE16 6AS ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,County Durham,England
DM 053,Leaside Cheesemakers,West Leaside Farm,,,Hilton,DL2 3JB,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,County Durham,England
DM 054,Greggs at Harry Yearsleys,Unit 2 Foxcover Enterprise Park,, Admiralty Way,Seaham,SR7 7DN,,,,,,,,,,,,,,Section: 0 (RW),,,County Durham,England
DM 056,Barn 2 Buyer Ltd,Pole Tree Farm,Rushy Lea Lane ,Wolsingham,Durham,DL13 3NX,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,County Durham,England
DM 057,Weardale Cheese Limited,Harperley POW Camp,,Craigside,Harperley,DL15 8DX,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,County Durham,England
DM 059  ,Eden Farm Ltd,1 Cook Way,North West Industrial Estate,,Peterlee,SR8 2HY,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 060,Collins Seafoods Ltd,"Unit 2, Park 2000 ",Millennium Way,,Newton Aylcliffe,DL5 6AR,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 061,Wear Valley Foods (Durham) Ltd,Compound 1,Tudhoe Industrial Estate,,Spennymoor,DL16 6TL,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 062,Brookside Foods Limited,Unit 5D ,Bowburn South Industrial Estate ,Bowburn,Durham,DH6 5AD,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 063,Rich Foods Ltd,Unit 1a-b   ,Esh Winning Industrial Estate ,Esh Winning,Durham,DH7 9QL,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 064,Kerry Fresh,Dragon Lane,Gilesgate,,Durham,DH12XH,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 065,Hall Farm Foods,Murton Hall Farm,Hurworth Burn Road,,Wingate,TS285NU,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 066,Brakes,Bowburn North Industrial Estate,,,Bowburn,DH65PF,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 067,Brakes,3-5 Burdon Drive,North West Industrial Estate,,Peterlee,SR8 2JH,,,,,,,,,,,,,,Section: 0 (CS),,,County Durham,England
DM 068,Oneo Foods Ltd,19 Pease Road,North West Industrial Estate,,Peterlee,SR8 2RD,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,County Durham,England
DM 069,Teesdale Cheesemakers,Garden House,Rokeby,,Barnard Castle,DL12 9RZ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,County Durham,England
EG 023,Foodline (North East) Limited,13 Partnership Court,Seaham Grange Industrial Estate,,Seaham,SR7 0PX,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,County Durham,England
UP 003,Harvest Foods,Whinfield Drive,Aycliffe Business Park,,Newton Aycliffe,DL5 6AU,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,County Durham,England
CO 014,JR Meat Products,1 Hotchkiss Way,,,Coventry,CV3 2RL,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,Coventry,England
CO 023 ,Becketts Foods,Oak House,Heyford Close,,Coventry,CV2 2QB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Coventry,England
CO 027,Alsa Foods Ltd,48 Queen's Road,,,Coventry,CV1 3EH,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",,,Coventry,England
CO 030,Hi Gate Dairy Ltd,Hales Industrial Estate,Rowley Green,,Coventry,CV6 6AN,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Coventry,England
CO 031,Horizon Foods Distribution Ltd,333-335 Bedworth Road,,,Coventry,CV6 6BN,,,,PP (Processing Plant),,PP (Processing Plant),PP (Processing Plant),,,,,,,"Section: VI (PP), Section: IX (PP), Section: VIII (PP)",,,Coventry,England
CO 032,Dairy Farm Products Ltd,Unit 9 - 10 Kwik Fom Building,Hales Industrial Park,Rowleys Green Lane ,Coventry,CV6 6AT,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Coventry,England
CO 033,Aegean Heritage Foods Ltd,Unit 3,Richardson Way,,Coventry,CV2 2TA,,,,,,,PP (Processing Plant),,,,,,,"Section: 0 (CS), Section: 0 (RW), Section: IX (PP)",,,Coventry,England
CO 035,Pig in the Middle,73 Far Gosford Street,,,Coventry,CV1 5DZ,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Coventry,England
CO 036,Yet Sun Hong Limited,1 Alpha Business Park,Deedmore Road,,Coventry,CV2 1EQ,,,,,,,,,,,,,,Section: 0 (CS),,,Coventry,England
CO 037,Palmer and Harvey McClane Ltd,Dolomite Avenue,,,Coventry,CU5 6UQ,,,,,,,,,,,,,,Section: 0 (CS),,,Coventry,England
CO 038,Gainsborough Chilled Foods Ltd,Coventry Business Park,7 Spitfire Close,,Coventry,CV5 6UR,,,,,,,,,,,,,,Section: 0 (CS),,,Coventry,England
CO 039,Brakes Group,Richardson Way,Cross Point Business Park,,Coventry,CV22TA,,,,,,,,,,,,,,Section: 0 (CS),,,Coventry,England
CO 040,AD Maria & Son,4 The Stampings,Blue Ribbon Business Park,,Coventry,CV6 5RE,,,,,,,,,,,,,,Section: 0 (CS),,,Coventry,England
CO 041,The Nursery Catering Company Ltd,The Kitchens,Kingfield Road,,Coventry,CV6 6AT,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: VI (PP), Section: IX (PP)",,,Coventry,England
CO 042,Majestic Foods Ltd,Unit 2 Sandy Lane,Sandy Lane Business Park,Sandy Lane,Coventry,CV1 4DX,,,,,,,,,,,,,,Section: 0 (CS),,,Coventry,England
CO 043,Nazar Wholesale Limited,Status Business Park,Unit 5 Venture House,1-2 Holbrook Lane,Coventry,CV6 4AF,,,,,,,,,,,,,,Section: 0 (CS),,,Coventry,England
CV 001,Arla Foods ltd,Settle Creamery,Sowarth Field,,Settle,BD24 9AF,,,,,,,"CC (Collection Centre), PP (Processing Plant)",,,,,,,"Section: IX (CC), Section: IX (PP)",,,Craven District,England
CV 017,Dales Dairy (Town Head Farm),Town Head,Grassington,,Skipton,BD23 5BL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Craven District,England
CV 026,Swales Yorkshire Dales Ice Cream,Calm Slate Farm,Moor Lane,,Halton East,BD23 3BD,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Craven District,England
CV 027,GW & EJ Parker,Sire Bank Farm,,,Bradley,BD20 9HG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Craven District,England
CV 030,Yellison Goats,Sire Bank Farm,Jackson Lane,Bradley,Keighley,BD20 9HG,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Craven District,England
CV 040,G. B. Moorhouse,Hesper Farm,Bell Busk,,Skipton,BD23 4DU,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Craven District,England
CV 402 ,Craven Bacon Supplies,Unit 18,Midland Mills Trading Es,Station Rd,Keighley,BD20 7DT,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Craven District,England
CV 405,Blue Pig Company,Mearbeck,Long Preston,,Skipton,BD23 4QP,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,Meat Products,Craven District,England
YX 001,Alpha-LSG Ltd,Faraday Road,,Northgate,Crawley,RH10 1HL,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Crawley,England
YX 003,Gate Gourmet Ltd,Perimeter Road South,,Gatwick,Crawley,RH6 0PQ ,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Crawley,England
YX 005,The Real Pie Company,18-20 Imperial Business Centre,Rutherford Way,,Crawley,RH10 9PF,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Crawley,England
YX 007,Jeanie Marshal Foods UK Ltd,Gatwick International Distribution Centre,Cobham Way,,Crawley,RH10 9RX,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Crawley,England
YX 010,Alpha Flight UK Ltd,Rutherford Way,,,Crawley,RH10 9AF,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Crawley,England
YX 011,Camelot Chilled Foods Ltd,Unit 1 – 5,Whitworth Road,,Crawley,RH117RY,,,,,,,,,,,,,,Section: 0 (CS),,,Crawley,England
CR 004,V A Gibson (Butchers),301 Lower Addiscombe Road,,,Croydon,CR0 6RF,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Croydon  (London Borough),England
CR 005,Coughlans Bakeries Ltd,21-29 Sandringham Road,,,Thornton Heath,CR7 7AX,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",,,Croydon  (London Borough),England
CR 010,Dos Santos Ltd,Windmill Road,,,Croydon,CR0 2XQ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Croydon  (London Borough),England
CR 011,Carr Foods Ltd,42 Capital Business Centre,22 Carlton Road South,,Croydon,CR2 0BS,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Croydon  (London Borough),England
DJ 001,Curious Foods Ltd,32 Miswell Lane,,,Tring,HP23 4DD,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,PP (Processing Plant),,,"Section: V (MM), Section: V (MP), Section: VI (PP), Section: XIII (PP)",,,Dacorum,England
DJ 002,Martin Brower UK Ltd,Bryanston Court,Selden Hill,Hemel Hempstead,London,HP2 4TN,,,,,,,,,,,,,,Section: 0 (CS),,,Dacorum,England
DJ 011,Gist Limited,Three Cherry Trees Lane,,,Hemel Hempstead,HP27PZ,,,,,,,,,,,,,,Section: 0 (CS),,,Dacorum,England
DJ 012,Palmer & Harvey McLane Ltd,Maxted Road,,,Hemel Hempstead,HP2 7DX,,,,,,,,,,,,,,Section: 0 (CS),,,Dacorum,England
DJ 013,GIST Ltd (Maylands),Three Cherry Trees Lane,,,Hemel Hampstead,HP2 7PZ,,,,,,,,,,,,,,Section: 0 (CS),,,Dacorum,England
DJ 014,Bon Soirée,"The Courtyard, 116 High Street",North Church,,Berkhamsted,HP43QN,,,,PP (Processing Plant),,PP (Processing Plant),PP (Processing Plant),PP (Processing Plant),,,,,,"Section: VI (PP), Section: IX (PP), Section: X (PP), Section: VIII (PP)",,,Dacorum,England
DN 012,Acorn Dairy,Garthorne Farm ,Archdeacon Newton,,Darlington,DL2 2YB,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Darlington,England
DN 013,Archers Jersey Ice Cream Parlour,New Moor Farm,Walworth Gate,,Darlington,DL2 2UD,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Darlington,England
DN 014,Darlington Memorial Hospital,Hollyhurst Road,,,Darlington,DL3 6HX,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Darlington,England
DN 020,H Taylor and Sons,41-45 Skinnergate,,,Darlington,DL3 7NR,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,PP (Processing Plant),PP (Processing Plant),PP (Processing Plant),PP (Processing Plant),"Section: V (MM), Section: V (MP), Section: VI (PP), Section: XII (PP), Section: XIII (PP), Section: XIV (PP), Section: XV (PP)",,,Darlington,England
DN 022,SG Foods,11 Dudley Road,,,Darlington,DL1 4GG,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Darlington,England
UK/2/1156,Piercebridge Farm Organics,Piercebridge Farm,The Green,Piercebridge,Darlington,DL2 3SE,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Darlington,England
UK/2/1382,Phil Twizel Eggs,West New Biggin Farm,,,Darlington,DL2 1SU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Darlington,England
UK/2/1455,Cherry Tree Farm,Beacon Hill,Sadberge,,Darlington,DL1 3BQ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Darlington,England
DH 002,Robimaur Farm,Clement St,Sutton at Hone,,Swanley,BR8 7PQ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Dartford ,England
DH 003,Delight Foods UK Ltd,Manor Farm,Shellbank Lane,,Dartford,DA2 8DL,,,,,,,,,,,,,,,,"Blood Products, Meat Products, Meat extracts and any powdered products derived from meat, Treated stomachs, bladders and intestines, frogs legs, Snails, Collagen, Gelatine, Rendered Animal Fats and Greaves",Dartford ,England
DH 004,Catalent Micron Technologies Ltd,Crossways Boulevard,Crossways,,Dartford,DA2 6QY,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Dartford ,England
DH 005,Sondix House,Sandpit Road,,,Dartford,DA15BU,,,,,,,,,,,,,,Section: 0 (CS),,,Dartford ,England
KS 128,Jardox Limited,"Unit 1-3, Block 6",Vestry Estate,Oxford Road,Sevenoaks,TN14 5EL,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Dartford ,England
DX 003,Brixworth Foods,1 Ironstone Close,Brixworth Industrial Estate,,Brixworth,NN6 9PD,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Daventry District,England
DX 010,Waterloo Cottage Farm,34 Harborough Road,,,Great Oxendon,LE16 8NA,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Daventry District,England
DX 011,OTG Foods Ltd,Unit 5 Wold Farm Industrial Estate,Broughton Road,Old,Northampton,NN6 9RH,,,MP (Meat Preparation Establishment),,,,,,,,,,,"Section: V (MP), Section: 0 (CS)",,,Daventry District,England
DX 012,The Clipston Egg Company,Gravel Pit Farm,Harborough Road,,Clipston,LE169TT,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Daventry District,England
DX 013,Clucking Hen Group,Raven Farm,Preston Road,,Woodford Halse,NN11 3NW,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Daventry District,England
AV 027,George's Tradition Limited ,Number One Pride Park View,Victoria Way,Pride Park,Derby,DE248AN,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Derby,England
DI 001 ,Birds (Derby) Ltd,Ascot Drive,,,Derby,DE24 8GN,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Derby,England
DI 002,Stewart Bailey,5-6 New Fish Market,Lock Up Yard,,Derby,DE1 2DT,,,,,DC (Dispatch Centre),PP (Processing Plant),,,,,,,,"Section: VII (DC), Section: VIII (PP)",,,Derby,England
DI 004,5 Star Foods Ltd,Sir Francis Ley Industrial Park,37 Shaftesbury Street South,,Derby,DE238YH,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Derby,England
DI 006,Triple Crown Foods Limited,Unit 29,Robinsons Industrial Estate,,Derby,DE23 8NL,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VIII (PP), Section: VI (PP)",,,Derby,England
DI 008 ,C Theaker,,,,Derby,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Derby,England
DD 008,Cox Brothers,Church Lane Farm,,Great Longstone,Bakewell,DE45 1TB,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Derbyshire Dales District,England
DD 010,Peak District Dairy,Sherwood Road,,,Buxton,SK17 8HR,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Derbyshire Dales District,England
DD 014,Hope Valley Farm Produce Ltd,Thorpe Farm ,,Hathersage,Hope Valley ,S32 1BQ ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Derbyshire Dales District,England
DD 015,Hartington Creamery Limited,Pikehall Farm,,,Matlock,DE4 2PH,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Derbyshire Dales District,England
DD 016,River Roach Oyster Company,7 Old Derby Road,,,Ashbourne,DE6 1BN,,,,,"PC (Purification Centre), DC (Dispatch Centre)",,,,,,,,,"Section: VII (PC), Section: VII (DC)",,,Derbyshire Dales District,England
DD 017,Cow Close Farm Ltd,Birley Lane,,,Hathersage,S32 1BR,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Derbyshire Dales District,England
DD 018,Holdsworth The Mill,Manchester Road,,,Tideswell,SK17 8LN,,,,,,,,,,,,,,Section: 0 (CS),,,Derbyshire Dales District,England
DD 020 M,Coldeaton Jersey Ice Cream,Green House Farm,Windmill Lane,,Ashbourne,DE61JA,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Derbyshire Dales District,England
DD 021,Lauras Dairy,Leisure Farm,Bottomhill Road,,Cressbrook,SK17 8ST,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Derbyshire Dales District,England
DK 003,King Asia Foods Ltd,Middle Bank,,,Doncaster,DN4 5JJ,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Doncaster,England
DK 008 ,B B W (Foods) Ltd,Doncaster Rd,Denaby Main,,Doncaster,DN12 4ET,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Doncaster,England
DK 010,Nortech Foods Ltd,Ings Rd,,,Doncaster,DN5 9TL,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Doncaster,England
DK 012,The Topping Pie Company Ltd,2 Chappell Drive,,,Doncaster,DN1 2RF,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Doncaster,England
DK 017,Teasdale Bakers Ltd,Unit 10 & 11 Frontier Works,Kind Edwards Road,Thorne,Doncaster,DN8 4HU,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Doncaster,England
DK 019,Paragon Quality Foods Ltd,Quadrant 3 Yorkshire Way,West Moor Park,Armthorpe,Doncaster,DN3 3FB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Doncaster,England
DK 020,Bankwood Meats Ltd,Unit C1 Thorne Enterprise Park,King Edward Road,Thorne,Doncaster,DN8 4HU,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Doncaster,England
DK 023,The Crusty Cob Shop Ltd,16 West Street,,Conisbrough,Doncaster,DN12 3JH,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Doncaster,England
DK 026,Warners Fish Merchants Ltd,Raymond House,Decoy Bank North,Lakeside,Doncaster,DN4 5JR,,,,,,,,,,,,,,Section: 0 (CS),,,Doncaster,England
DK 027,Coolcare Logistics Ltd,Unit 2,Yorkshire Way,Armthorpe,Doncaster,DN3 3FB,,,,,,,,,,,,,,Section: 0 (CS),,,Doncaster,England
DV 001,Solleys Farms Ltd,The Dairy,Church Lane, Ripple,Deal,CT14 8JL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Dover District,England
DV 005,Langdon Industries Ltd,1 Palmerstone Road,White Cliffs Business Park,,Dover,CT16 3NF,,,,,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW)",,,Dover District,England
